N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"83,900",900,+1.08%,100,"5,008,648","5,969,783",55.73,"35,008,960",22.91,8.69,
2,SK하이닉스,"130,500","4,500",+3.57%,"5,000","950,043","728,002",49.88,"7,162,462",33.11,4.25,
3,LG화학,"893,000","4,000",+0.45%,"5,000","630,390","70,592",42.92,"370,981",83.43,1.84,
4,삼성전자우,"75,000",600,+0.81%,100,"617,165","822,887",81.72,"3,848,813",20.48,N/A,
5,삼성바이오로직스,"832,000","3,000",+0.36%,"2,500","550,493","66,165",10.45,"119,535",154.91,4.77,
6,NAVER,"292,500",500,-0.17%,100,"480,470","164,263",55.94,"910,286",58.23,10.56,
7,셀트리온,"354,500","7,000",+2.01%,"1,000","478,567","134,998",20.67,"1,243,031",95.81,11.19,
8,삼성SDI,"686,000","15,000",+2.24%,"5,000","471,725","68,765",44.30,"596,844",234.05,2.94,
9,현대차,"209,500","2,000",+0.96%,"5,000","447,635","213,668",31.09,"3,007,963",50.06,4.32,
10,카카오,"393,000","3,000",-0.76%,500,"347,556","88,437",32.38,"745,872",-436.18,-5.81,
11,현대모비스,"291,000","4,000",+1.39%,"5,000","276,609","95,055",43.10,"766,137",17.75,7.28,
12,삼성물산,"144,500",500,+0.35%,100,"270,052","186,887",14.32,"1,041,696",24.21,4.77,
13,기아차,"63,700",300,-0.47%,"5,000","258,216","405,363",37.09,"3,811,135",29.60,6.50,
14,LG생활건강,"1,610,000","2,000",-0.12%,"5,000","251,453","15,618",45.52,"39,922",36.07,20.32,
15,POSCO,"285,000","12,000",+4.40%,"5,000","248,482","87,187",50.65,"897,207",26.11,4.18,
16,LG전자,"140,000","2,000",-1.41%,"5,000","229,107","163,648",36.05,"1,568,737",30.41,0.22,
17,SK이노베이션,"244,000","13,000",+5.63%,"5,000","225,616","92,466",24.35,"3,187,498",-9.28,-0.20,
18,엔씨소프트,"985,000","7,000",+0.72%,500,"216,247","21,954",48.89,"122,015",38.54,14.72,
19,SK텔레콤,"246,000","9,000",+3.80%,500,"198,634","80,746",33.94,"665,445",18.11,3.92,
20,KB금융,"43,550","1,100",+2.59%,"5,000","181,084","415,808",65.26,"3,095,206",5.31,8.92,
21,SK,"251,500","2,000",+0.80%,200,"176,956","70,360",21.52,"474,141","1,061.18",4.31,
22,한국전력,"26,900",0,0.00%,"5,000","172,688","641,964",17.12,"5,510,276",186.81,-3.42,
23,LG,"98,300","1,400",+1.44%,"5,000","169,624","172,557",34.32,"966,407",13.90,5.87,
24,신한지주,"32,100",550,+1.74%,"5,000","165,805","516,527",57.20,"3,397,875",4.60,9.09,
25,삼성에스디에스,"212,500","26,500",+14.25%,500,"164,428","77,378",11.85,"1,667,719",31.37,11.76,
26,삼성생명,"77,300",700,-0.90%,500,"154,600","200,000",11.97,"1,385,359",15.53,3.26,
27,삼성전기,"180,000",0,0.00%,"5,000","134,449","74,694",34.52,"772,174",36.88,10.18,
28,SK바이오팜,"160,500","6,000",+3.88%,500,"125,693","78,313",5.14,"1,369,981",-145.91,-313.66,
29,아모레퍼시픽,"203,000",0,0.00%,500,"118,671","58,458",31.91,"258,277",326.37,5.36,
30,KT&G,"83,100","1,000",+1.22%,"5,000","114,090","137,292",40.09,"803,569",11.59,12.39,
31,넷마블,"132,500","1,500",+1.15%,100,"113,745","85,845",22.72,"431,428",53.67,3.54,
32,하나금융지주,"34,050",600,+1.79%,"5,000","102,232","300,242",64.99,"2,432,860",4.16,8.77,
33,롯데케미칼,"282,500","3,000",+1.07%,"5,000","96,828","34,275",26.23,"267,362",83.51,5.51,
34,삼성화재,"186,500","3,500",+1.91%,500,"88,354","47,375",44.41,"176,538",13.64,4.85,
35,한온시스템,"16,550",50,+0.30%,100,"88,344","533,800",20.31,"1,653,826",62.93,14.98,
36,한화솔루션,"53,900","4,700",+9.55%,"5,000","86,167","159,864",19.12,"14,022,719",-95.91,-4.02,
37,고려아연,"452,000","51,000",+12.72%,"5,000","85,292","18,870",23.65,"402,087",15.23,9.76,
38,한국조선해양,"117,500","7,500",+6.82%,"5,000","83,158","70,773",16.39,"1,102,266",389.07,1.40,
39,S-Oil,"70,800",500,+0.71%,"2,500","79,709","112,583",75.69,"477,361",-9.49,1.01,
40,포스코케미칼,"124,000","6,000",+5.08%,500,"75,625","60,988",7.28,"1,364,066",281.82,11.57,
41,현대글로비스,"191,000","1,000",+0.53%,500,"71,625","37,500",35.54,"438,517",10.73,11.25,
42,우리금융지주,"9,610",100,+1.05%,"5,000","69,410","722,268",24.83,"2,316,296",5.15,N/A,
43,LG디스플레이,"18,800",250,-1.31%,"5,000","67,269","357,816",23.36,"4,059,821",-2.74,-22.35,
44,기업은행,"8,710",90,+1.04%,"5,000","64,338","738,664",10.15,"2,844,611",4.45,7.36,
45,미래에셋대우,"9,900",400,+4.21%,"5,000","63,886","645,316",14.10,"4,145,895",10.34,7.56,
46,신풍제약,"118,500","3,500",-2.87%,500,"62,787","52,985",11.92,"1,658,159","3,291.67",0.80,
47,KT,"23,950",150,+0.63%,"5,000","62,536","261,112",43.85,"2,364,892",10.20,4.61,
48,CJ제일제당,"414,500","30,000",+7.80%,"5,000","62,400","15,054",24.15,"333,800",8.61,3.16,
49,현대제철,"43,550","2,350",+5.70%,"5,000","58,116","133,446",19.46,"3,067,093",-23.59,0.10,
50,빅히트,"158,500",500,+0.32%,500,"56,464","35,624",3.53,"166,488",N/A,56.47,
